row,column,cor,p
Alppl2,Gnb2l1,0.724140127585072,0.00101247018506379
Bcl2l10,Gnb2l1,-0.780999531709165,0.000214866085292309
Btg4,Gnb2l1,-0.897235016507172,1.05316860499194e-06
Calcoco2,Gnb2l1,0.902835174981153,7.03470463214728e-07
Cnbp,Gnb2l1,0.207640527241897,0.423892516664705
Ctsl,Gnb2l1,0.250770607084427,0.331632624193547
Dppa3,Gnb2l1,0.25240801339638,0.328379347908222
Eif5a,Gnb2l1,0.891696528750955,1.53557729842824e-06
Fbxo15,Gnb2l1,0.744276012795082,0.000611740289930163
Gcsh,Gnb2l1,0.215166624728955,0.406900316786731
Gdf9,Gnb2l1,-0.817509869314025,6.13182227309217e-05
Alppl2,H1foo,-0.619164619164619,0.00804124220036506
Bcl2l10,H1foo,0.887386127617885,2.03129857068163e-06
Btg4,H1foo,0.851442763252988,1.45472215278275e-05
Calcoco2,H1foo,-0.852761378118634,1.36611100438611e-05
Cnbp,H1foo,-0.497848895510748,0.0419860411769124
Ctsl,H1foo,-0.537185104538758,0.0261718859114346
Dppa3,H1foo,-0.67310661465326,0.0030620623237807
Eif5a,H1foo,-0.829957185232905,3.75118214119841e-05
Fbxo15,H1foo,-0.846214433966227,1.85570487833964e-05
Gcsh,H1foo,-0.484625212850675,0.0486640146197319
Gdf9,H1foo,0.927429975861445,8.47869043862914e-08
Gnb2l1,H1foo,-0.721677065926619,0.00107370740376789
Alppl2,Hdgf,0.498159884195921,0.0418378296485193
Bcl2l10,Hdgf,-0.926863626903975,8.97269936128708e-08
Btg4,Hdgf,-0.815450797047787,6.6277560864858e-05
Calcoco2,Hdgf,0.700980392156863,0.00171941119897268
Cnbp,Hdgf,0.611419084717267,0.00911009808976182
Ctsl,Hdgf,0.691222780513698,0.00211905578242666
Dppa3,Hdgf,0.704891879372201,0.00157767615691418
Eif5a,Hdgf,0.667075539239092,0.00344281558225923
Fbxo15,Hdgf,0.908102340016794,4.70470137958756e-07
Gcsh,Hdgf,0.53317114251202,0.0275325121561409
Gdf9,Hdgf,-0.837840366804603,2.69199311717649e-05
Gnb2l1,Hdgf,0.63346064729604,0.00633287429425566
H1foo,Hdgf,-0.867485315582553,6.48243210843447e-06
Alppl2,Hnrnpab,0.564149891441598,0.0183278322392466
Bcl2l10,Hnrnpab,-0.547357129783569,0.022956134463626
Btg4,Hnrnpab,-0.366871165644172,0.147473795636233
Calcoco2,Hnrnpab,0.378908716222205,0.133648057286766
Cnbp,Hnrnpab,0.828010452833073,4.06108887012202e-05
Ctsl,Hnrnpab,0.923219369887321,1.27828941653974e-07
Dppa3,Hnrnpab,0.830826721750365,3.61935871078245e-05
Eif5a,Hnrnpab,0.423312883435583,0.0904353447992838
Fbxo15,Hnrnpab,0.574085011630858,0.0159555528448274
Gcsh,Hnrnpab,0.874002715022789,4.52929820071724e-06
Gdf9,Hnrnpab,-0.457284120940193,0.0649625952231774
Gnb2l1,Hnrnpab,0.212924084850125,0.411924933647231
H1foo,Hnrnpab,-0.613873657716646,0.00875979377685221
Hdgf,Hnrnpab,0.663396813838876,0.00369336167116519
Alppl2,Hprt,0.838551416440938,2.61040228277665e-05
Bcl2l10,Hprt,-0.776140109872881,0.000249464985099035
Btg4,Hprt,-0.732515337423313,0.000825395924812344
Calcoco2,Hprt,0.728387629242685,0.000913650599385862
Cnbp,Hprt,0.546683459214714,0.023159106792771
Ctsl,Hprt,0.611794073458264,0.00905587027148069
Dppa3,Hprt,0.491342389071402,0.0451789898445165
Eif5a,Hprt,0.833128834355828,3.2891104902788e-05
Fbxo15,Hprt,0.818534113357546,5.89702700279915e-05
Gcsh,Hprt,0.677321372682921,0.00281691455350841
Gdf9,Hprt,-0.708052832423525,0.00147028184088871
Gnb2l1,Hprt,0.759388210130213,0.000406497034577402
H1foo,Hprt,-0.756292346306908,0.000443025928388296
Hdgf,Hprt,0.708767760441535,0.00144684571060161
Hnrnpab,Hprt,0.630674846625767,0.00664049198299588
Alppl2,Hsp90ab1,0.661547911547912,0.00382476070387705
Bcl2l10,Hsp90ab1,-0.852924530428841,1.35547264830116e-05
